full_sample,sel_index,typen,repay_year,fy,year,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_de,md_de,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,mn_grad2_debt,mn_grad4_debt,mn_grad0_debt,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
1,,,1999,1999,0,1233,33000,29250,17000,43250,42000,33000,.071,.182,.287,.271,.084,3139,23250,35250,26750,12350,28375,15563,2077,21044,13880,14561,10956,41189,29814
1,,,1999,2000,1,1233,39750,35250,21250,50500,51750,41250,.072,.141,.221,.251,.07,3139,27500,42500,32250,12097,27659,15314,2077,20671,13225,14248,10567,40535,28292
1,,,1999,2001,2,1233,44750,39000,23500,56500,58250,47000,.082,.125,.192,.262,.064,3139,30250,47750,35750,12144,27472,15474,2077,20758,12822,14274,10528,40680,27328
1,,,1999,2002,3,1233,46250,40250,23750,58750,61250,49750,.097,.131,.194,.291,.063,3139,30250,48250,36250,12138,26879,15368,2077,20529,12218,14073,10145,39895,26008
1,,,1999,2003,4,1233,49000,41750,24750,61750,65250,52750,.111,.134,.197,.317,.062,3139,30750,50500,37750,12155,26499,15328,2077,20425,11505,13943,9699,39229,24526
1,,,1999,2004,5,1233,51750,43250,25750,65000,69750,56250,.12,.133,.191,.331,.06,3139,31750,53000,39250,12155,26006,15304,2077,20277,10756,13773,9063,38484,23275
1,,,1999,2005,6,1233,54500,44500,26250,67750,74000,59000,.124,.133,.189,.339,.059,3139,32250,55500,41250,12164,25641,15284,2077,20158,10180,13631,8449,37841,21929
1,,,1999,2006,7,1233,58250,46500,27500,71750,78750,62500,.131,.133,.186,.348,.056,3139,34000,59250,43500,12558,25922,15524,2077,20485,10118,13781,8282,37999,21753
1,,,1999,2007,8,1233,60000,47750,28000,74000,82250,65250,.137,.133,.185,.36,.055,3139,34500,60750,44250,12779,26204,15810,2077,20766,10241,13944,8449,37872,21869
1,,,1999,2008,9,1233,63750,50250,29250,78250,85750,67750,.147,.135,.183,.375,.054,3139,35500,64000,46250,13794,27970,16939,2077,22193,11118,14871,9111,39670,23455
1,,,1999,2009,10,1233,63000,49750,28250,78250,84000,66500,.165,.145,.196,.414,.057,3139,34250,62000,44500,14803,30255,18329,2077,23988,12198,15984,9888,42211,25588
1,,,1999,2010,11,1233,64500,50250,28250,79500,86000,67500,.174,.147,.197,.432,.057,3139,34000,63250,45250,15422,31405,19106,2077,24921,12629,16579,10027,43013,25700
1,,,1999,2011,12,1233,66250,50750,28750,81250,88000,68250,.179,.152,.202,.44,.057,3139,34250,64750,46000,16061,32264,19865,2077,25680,13105,17110,10148,43606,25586
1,,,1999,2012,13,1233,68250,51750,29250,83250,91000,69750,.184,.154,.202,.448,.056,3139,34750,66250,47250,16620,32849,20220,2077,26108,13138,17451,10063,43897,25523
1,,,1999,2013,14,1233,69750,52500,29250,85250,92750,71000,.186,.158,.204,.452,.055,3139,35250,67500,48250,17031,33617,20615,2077,26707,13216,17831,10150,44729,25943
1,,,1999,2014,15,1233,71750,54000,30250,87500,89250,68000,.203,.184,.226,.482,.056,3139,35750,67750,48750,17675,34751,21276,2077,27569,13366,18400,10300,45832,26238
1,,,2000,2000,0,1282,34500,30500,17500,45000,44500,35000,.068,.172,.271,.259,.078,3102,24250,37250,27750,12641,29401,15706,2017,21423,13964,14761,11207,41315,29427
1,,,2000,2001,1,1282,41250,36500,21250,52500,52750,42250,.077,.135,.214,.257,.066,3102,28750,44250,32750,12581,28867,15700,2017,21229,13430,14630,10943,40815,28215
1,,,2000,2002,2,1282,43000,38000,22500,55500,56250,45500,.09,.138,.208,.281,.065,3102,29250,45750,33500,12347,28218,15454,2017,20864,12779,14361,10450,39759,26419
1,,,2000,2003,3,1282,45750,40000,23500,58750,60500,48750,.104,.138,.204,.305,.063,3102,30250,48000,35000,12319,27723,15438,2017,20691,12154,14196,10092,39074,25218
1,,,2000,2004,4,1282,48750,41750,24500,62250,65250,52500,.11,.135,.197,.312,.061,3102,31000,51000,37250,12097,27049,15292,2017,20362,11353,13889,9534,38326,23888
1,,,2000,2005,5,1282,51750,43250,25750,65250,70000,55750,.116,.133,.191,.322,.058,3102,32250,53750,38750,12073,26572,15350,2017,20264,10670,13743,8988,37739,22679
1,,,2000,2006,6,1282,55500,45250,27000,69000,75000,59500,.122,.132,.187,.331,.056,3102,33500,57500,41250,12141,26351,15489,2017,20304,10264,13727,8588,37426,22026
1,,,2000,2007,7,1282,58000,46500,27500,71750,79000,62000,.13,.134,.188,.345,.054,3102,34250,59750,42500,12252,25972,15559,2017,20201,10111,13661,8426,36601,21323
1,,,2000,2008,8,1282,61500,49000,28750,76250,83000,65750,.14,.135,.186,.36,.053,3102,35250,62750,44500,12859,26772,16226,2017,20935,10401,14133,8672,37304,21609
1,,,2000,2009,9,1282,61000,48750,28000,76250,81750,64500,.156,.146,.198,.398,.056,3102,34250,61500,43250,13317,27518,16827,2017,21630,10708,14569,8869,37688,22127
1,,,2000,2010,10,1282,62750,49250,27750,78000,84250,66000,.166,.145,.199,.416,.056,3102,34500,63250,43500,14277,29540,18116,2017,23282,11772,15539,9471,40255,24350
1,,,2000,2011,11,1282,64250,50000,28250,79750,86250,67000,.172,.152,.203,.426,.055,3102,34500,64250,44250,14721,30256,18866,2017,23962,12177,16018,9535,40538,24453
1,,,2000,2012,12,1282,66750,50750,28750,81750,89250,68750,.178,.155,.205,.435,.055,3102,35250,66500,45250,15207,30582,19380,2017,24395,12273,16361,9542,40632,23874
1,,,2000,2013,13,1282,68000,51750,29000,83500,91000,70000,.182,.159,.206,.443,.054,3102,35500,67250,46250,15847,31265,19769,2017,24935,12402,16720,9534,41105,24129
1,,,2000,2014,14,1282,69750,53250,29750,85750,88000,67250,.198,.184,.227,.473,.055,3102,36250,67750,47000,16358,32201,20315,2017,25609,12402,17169,9585,41753,24290
1,,,2001,2001,0,1254,36000,31500,17750,47000,46000,36500,.075,.161,.261,.278,.081,3399,26000,39000,28250,13139,31544,16197,2158,22796,14397,15335,11851,45295,31095
1,,,2001,2002,1,1254,39500,35500,20750,51250,51250,41000,.086,.144,.226,.286,.075,3399,27250,42250,30750,12834,30711,15783,2158,22250,13666,14942,11265,43882,28698
1,,,2001,2003,2,1254,42750,37750,22250,55000,55500,44750,.097,.143,.214,.303,.071,3399,28750,45500,32750,12489,29876,15545,2158,21792,12953,14564,10657,42850,27178
1,,,2001,2004,3,1254,45500,39500,23500,58250,60500,48500,.102,.138,.204,.309,.068,3399,29750,48500,34750,12185,29213,15439,2158,21495,12271,14270,10104,42160,26337
1,,,2001,2005,4,1254,48750,41250,25000,61500,65750,52000,.108,.133,.195,.315,.065,3399,31250,51500,36750,12021,28643,15325,2158,21271,11493,13990,9690,41484,24956
1,,,2001,2006,5,1254,52750,43750,26250,65750,71250,56500,.113,.132,.188,.321,.061,3399,32750,55750,39250,12297,28428,15620,2158,21441,11187,14058,9502,40855,24017
1,,,2001,2007,6,1254,55500,45250,27000,68750,75750,59750,.122,.13,.187,.337,.06,3399,33500,58500,40500,12295,27893,15663,2158,21291,10823,13897,9173,40004,23297
1,,,2001,2008,7,1254,59000,47500,28250,73500,79750,63000,.133,.134,.185,.355,.058,3399,35000,61500,42750,12639,28247,16138,2158,21763,10792,14173,9166,40274,23278
1,,,2001,2009,8,1254,58750,47250,27500,73500,79000,62500,.153,.143,.2,.397,.061,3399,33500,60250,41250,12994,28321,16392,2158,22037,10759,14295,9109,40092,23394
1,,,2001,2010,9,1254,60750,48250,27500,75500,82000,64250,.163,.143,.198,.417,.061,3399,33500,61750,42000,13518,28912,16798,2158,22568,10887,14595,9157,40456,23627
1,,,2001,2011,10,1254,62500,48750,27750,77000,84000,65250,.168,.148,.202,.424,.061,3399,34000,63000,42750,14359,30503,17930,2158,23924,11846,15385,9476,42069,25006
1,,,2001,2012,11,1254,65000,50000,28500,79500,87750,67000,.174,.15,.2,.434,.06,3399,34750,65250,44000,14833,31000,18324,2158,24414,12046,15673,9443,42502,25352
1,,,2001,2013,12,1254,66500,51000,29000,81500,90000,68750,.178,.153,.203,.444,.059,3399,35250,66500,45250,15270,31633,18717,2158,24967,12132,16005,9457,42797,25195
1,,,2001,2014,13,1254,69000,52750,30000,84500,87000,67000,.196,.179,.225,.473,.059,3399,35750,67750,45750,15675,32305,19140,2158,25480,12172,16310,9463,43228,25233
1,,,2002,2002,0,1267,33500,28750,16000,45000,44000,33750,.083,.183,.29,.292,.081,3091,23500,36500,25750,13089,32176,15554,1948,22932,14396,15255,11647,44927,30658
1,,,2002,2003,1,1267,38500,33750,19500,50000,49750,39250,.089,.159,.243,.286,.07,3091,26250,41750,29250,12676,31283,15156,1948,22354,13747,14810,11129,43488,29083
1,,,2002,2004,2,1267,41750,36250,21500,53750,54500,43250,.096,.148,.225,.292,.066,3091,27750,44750,31750,12342,30716,14956,1948,22046,13181,14497,10745,42829,28342
1,,,2002,2005,3,1267,45000,38500,23000,57250,59750,47000,.099,.141,.212,.294,.062,3091,29500,48250,33750,12131,30150,14834,1948,21840,12502,14172,10350,42371,27355
1,,,2002,2006,4,1267,49000,41000,24750,61500,65250,51250,.106,.137,.199,.302,.058,3091,31500,52500,36250,12150,29667,14941,1948,21789,12072,14083,10043,41594,26244
1,,,2002,2007,5,1267,51750,42750,25500,64750,70250,54750,.114,.135,.195,.315,.056,3091,32250,55500,37750,12214,28938,15011,1948,21596,11637,13914,9709,40369,25326
1,,,2002,2008,6,1267,55500,45250,27000,68750,74750,58500,.126,.134,.191,.335,.054,3091,33750,58750,39750,12488,29005,15377,1948,21894,11477,14050,9621,40246,24907
1,,,2002,2009,7,1267,56000,45250,26250,69750,74750,58500,.147,.145,.205,.378,.057,3091,32500,58500,38750,12487,28381,15482,1948,21699,11046,13863,9291,39392,24441
1,,,2002,2010,8,1267,58000,46000,26500,71750,77750,60250,.155,.144,.203,.394,.057,3091,32750,60000,39500,12762,28253,15650,1948,21791,10844,13875,9153,38915,24031
1,,,2002,2011,9,1267,59750,46750,27000,73500,79750,61500,.163,.151,.208,.408,.057,3091,33000,61250,40250,13313,28511,16151,1948,22260,11051,14137,9060,38563,23761
1,,,2002,2012,10,1267,62000,48000,27500,76000,83500,63750,.167,.153,.208,.415,.056,3091,34000,63500,41750,13933,29689,16785,1948,23176,11849,14671,9221,39383,24387
1,,,2002,2013,11,1267,63750,49000,28000,78250,85750,65500,.171,.153,.208,.421,.055,3091,34250,64750,43000,14277,30105,17104,1948,23575,12040,14885,9222,39401,24307
1,,,2002,2014,12,1267,66000,50500,29000,81000,83750,64250,.187,.179,.228,.451,.055,3091,34750,66000,43500,14627,30547,17462,1948,23996,12102,15119,9280,39327,23965
1,,,2003,2003,0,1358,32500,27250,15250,43250,42250,31750,.093,.198,.313,.303,.078,2811,22750,35250,25000,13018,33054,15228,1756,22780,14270,15210,11706,44195,30389
1,,,2003,2004,1,1358,37750,33000,19000,49000,48750,37750,.093,.165,.256,.283,.066,2811,26250,41500,28750,12530,32111,14794,1756,22181,13735,14713,11203,42923,29324
1,,,2003,2005,2,1358,41000,35750,21000,52500,53750,41750,.095,.152,.232,.281,.06,2811,27750,45250,31500,12234,31457,14642,1756,21894,13160,14362,10793,42268,28410
1,,,2003,2006,3,1358,45250,38500,23000,57250,59000,46000,.101,.147,.218,.287,.056,2811,29750,49750,34250,12123,30915,14745,1756,21777,12812,14204,10552,41514,27626
1,,,2003,2007,4,1358,48250,40250,24000,60750,64000,50000,.107,.144,.211,.297,.054,2811,30750,53250,35500,12048,29991,14759,1756,21482,12298,13947,10246,40164,26462
1,,,2003,2008,5,1358,52250,43000,25250,65250,68750,53750,.12,.142,.203,.318,.052,2811,32500,57500,37500,12333,29955,15223,1756,21824,12095,14101,10081,39900,26089
1,,,2003,2009,6,1358,52750,43000,25000,66250,69250,53750,.144,.154,.216,.366,.054,2811,31500,57000,36500,12237,29128,15212,1756,21510,11531,13827,9707,38760,24972
1,,,2003,2010,7,1358,54500,43750,25000,68000,72250,55750,.155,.153,.216,.387,.054,2811,31500,58750,37000,12325,28588,15272,1756,21352,11052,13660,9383,37871,23964
1,,,2003,2011,8,1358,56500,44500,25500,70000,75000,57500,.159,.156,.219,.394,.053,2811,32000,60500,38250,12390,28012,15233,1756,21128,10690,13463,8917,36990,23093
1,,,2003,2012,9,1358,58750,45750,26250,72500,78250,59750,.164,.16,.22,.402,.053,2811,32750,62750,39500,12676,28174,15501,1756,21385,10940,13591,8778,36660,22683
1,,,2003,2013,10,1358,60500,47000,26500,74750,81250,61750,.167,.162,.22,.408,.052,2811,33250,64250,40750,13334,29229,16082,1756,22238,11668,14048,9030,37225,22855
1,,,2003,2014,11,1358,63000,48750,27500,77500,80250,60500,.184,.183,.234,.439,.051,2811,34000,65500,41750,13709,29501,16335,1756,22547,11717,14188,9053,37163,22572
