fy,full_sample,typen,n_borrowers,tot_bal,r_typen1,r_typen2,r_typen3,r_typen4,r_typen5,r_typen6,mn_tot_bal,md_tot_bal,alt_cdr2,alt_cdr3,alt_cdr5,replicate_cdr3,fract_repaid,f5_tot_bal,mn_f5_tot_bal,md_f5_tot_bal,agg_fract_repaid,cpi_adj
1999,1,,1917,16070,.104,.067,.139,.442,.007,.241,8381,5811,.071,.111,.155,.097,.278,13393,6985,3927,.167,.753413
2000,1,,1988,17397,.103,.072,.138,.446,.007,.235,8749,6027,.075,.113,.157,.1,.28,14491,7288,4068,.167,.77168
2001,1,,1991,17918,.108,.077,.132,.444,.006,.233,8999,6139,.071,.107,.151,.094,.266,15072,7570,4263,.159,.779909
2002,1,,2019,18356,.112,.088,.131,.431,.006,.233,9091,6181,.066,.102,.151,.088,.242,15881,7865,4558,.135,.796383
2003,1,,2176,19715,.118,.096,.136,.417,.005,.228,9059,6206,.064,.106,.159,.091,.227,17291,7945,4815,.123,.811654
2004,1,,2396,21648,.121,.104,.148,.402,.006,.218,9035,6245,.074,.119,.174,.1,.219,19105,7973,4941,.117,.834702
2005,1,,2967,28483,.115,.11,.142,.405,.006,.222,9600,6756,.073,.119,.17,.102,.201,25402,8561,5637,.108,.858669
2006,1,,3233,31138,.111,.121,.148,.397,.005,.217,9631,6789,.083,.128,.183,.111,.201,27989,8657,5491,.101,.876992
2007,1,,2657,23854,.132,.148,.17,.354,.005,.191,8979,6137,.109,.17,.245,.147,.214,21442,8071,4685,.101,.906824
2008,1,,2714,24849,.133,.166,.169,.346,.006,.181,9156,6482,.112,.178,.259,.151,.197,22174,8170,5058,.108,.910217
2009,1,,4164,37858,.103,.178,.173,.337,.005,.203,9091,6913,.097,.148,.222,.124,.137,34849,8369,5837,.079,.929017
2010,1,,3279,34640,.142,.199,.165,.316,.006,.172,10565,7947,.126,.184,,.157,,,,,,.941916
2011,1,,3952,45969,.142,.205,.189,.301,.006,.157,11632,8849,.133,.182,,.159,,,,,,.965479
2012,1,,4309,54771,.129,.196,.208,.305,.006,.156,12711,9609,.117,,,.144,,,,,,.980216
2013,1,,4303,58678,.116,.186,.222,.313,.006,.157,13637,9973,,,,,,,,,,.992323
2014,1,,4172,59666,.104,.174,.228,.326,.005,.163,14301,10227,,,,,,,,,,1
1999,,1,199,994,,,,,,,4989,4206,.123,.214,.304,.18,.314,797,4000,2791,.198,.753413
2000,,1,205,1049,,,,,,,5106,4307,.136,.223,.31,.191,.337,812,3951,2785,.226,.77168
2001,,1,214,1117,,,,,,,5212,4461,.135,.219,.309,.189,.325,862,4023,2877,.228,.779909
2002,,1,225,1187,,,,,,,5269,4484,.121,.208,.314,.17,.3,952,4222,3080,.198,.796383
2003,,1,256,1378,,,,,,,5377,4525,.117,.222,.337,.18,.283,1121,4374,3229,.187,.811654
2004,,1,290,1600,,,,,,,5523,4704,.141,.243,.368,.197,.271,1330,4592,3424,.169,.834702
2005,,1,343,1980,,,,,,,5777,5165,.157,.262,.369,.221,.261,1652,4822,3691,.166,.858669
2006,,1,359,2174,,,,,,,6049,5459,.173,.283,.391,.242,.244,1861,5180,3928,.144,.876992
2007,,1,350,2147,,,,,,,6138,5601,.176,.295,.422,.249,.226,1870,5346,4112,.129,.906824
2008,,1,360,2281,,,,,,,6336,5969,.183,.31,.441,.259,.137,2170,6029,4820,.049,.910217
2009,,1,430,3186,,,,,,,7409,7211,.169,.256,.407,.209,.056,3207,7456,6330,-.007,.929017
2010,,1,467,3901,,,,,,,8356,8034,.166,.263,,.209,,,,,,.941916
2011,,1,562,5148,,,,,,,9161,8850,.172,.247,,.205,,,,,,.965479
