fy,full_sample,sel_index,typen,enter_repay_borrowers,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_typen1,lst_typen2,lst_typen3,lst_typen4,tot_parplus_balance,f5_tot_parplus_balance,mn_parplus_loan,md_parplus_loan,pct75_par,pct90_par,alt_cdr2,alt_cdr3,alt_cdr5,fract,age_entry,cpi_adj
1981,1,,,4,0.04,0.126,0.189,0.646,0.034,0.006,0.211,0.749,13,7,2874,2639,2643,5251,0.006,0.006,0.006,0.453,,0.452594
1982,1,,,7,0.089,0.146,0.214,0.552,0.078,0.011,0.253,0.658,20,11,2916,2574,2650,5120,0.021,0.025,0.028,0.493,,0.474364
1983,1,,,20,0.149,0.177,0.252,0.422,0.093,0.056,0.342,0.509,56,25,2725,2574,2651,4994,0.007,0.016,0.02,0.549,,0.491878
1984,1,,,30,0.22,0.175,0.226,0.379,0.149,0.071,0.351,0.429,92,42,3053,2587,2662,5154,0.017,0.026,0.031,0.551,,0.509814
1985,1,,,42,0.214,0.146,0.242,0.398,0.145,0.069,0.369,0.417,136,59,3238,2598,3331,5250,0.015,0.025,0.042,0.569,,0.528431
1986,1,,,46,0.304,0.152,0.21,0.334,0.204,0.1,0.338,0.357,154,65,3374,2587,3508,5916,0.027,0.043,0.059,0.584,,0.536539
1987,1,,,52,0.379,0.146,0.211,0.264,0.248,0.131,0.338,0.283,181,80,3472,2632,3526,6043,0.036,0.049,0.08,0.577,,0.556903
1988,1,,,82,0.39,0.159,0.219,0.232,0.274,0.116,0.376,0.234,281,128,3436,3332,3515,6250,0.048,0.078,0.119,0.567,,0.580705
1989,1,,,112,0.379,0.168,0.213,0.241,0.269,0.11,0.378,0.243,413,196,3682,3358,3530,6813,0.066,0.105,0.153,0.551,,0.60299
1990,1,,,122,0.334,0.182,0.234,0.25,0.233,0.102,0.397,0.269,481,235,3941,3397,3746,6862,0.074,0.104,0.159,0.54,,0.631967
1991,1,,,145,0.283,0.192,0.258,0.268,0.178,0.104,0.434,0.283,626,313,4329,3424,5322,7935,0.069,0.104,0.151,0.533,,0.648323
1992,1,,,175,0.226,0.203,0.276,0.294,0.129,0.097,0.455,0.318,819,456,4675,3493,6296,9300,0.051,0.082,0.139,0.497,,0.665147
1993,1,,,161,0.229,0.197,0.267,0.307,0.124,0.105,0.436,0.335,882,500,5469,3923,6943,10314,0.056,0.09,0.142,0.497,,0.679709
1994,1,,,88,0.285,0.17,0.24,0.306,0.16,0.124,0.359,0.357,544,279,6166,4830,7878,11663,0.046,0.072,0.099,0.571,,0.694281
1995,1,,,131,0.232,0.162,0.267,0.34,0.133,0.099,0.405,0.363,999,513,7648,5609,9751,15573,0.041,0.063,0.083,0.579,,0.707602
1996,1,,,150,0.216,0.163,0.271,0.351,0.118,0.097,0.422,0.362,1269,643,8480,5986,10507,17878,0.043,0.06,0.077,0.581,,0.724261
1997,1,,,158,0.209,0.157,0.276,0.358,0.117,0.092,0.435,0.356,1557,780,9846,6741,12067,21233,0.034,0.045,0.066,0.579,,0.732323
1998,1,,,169,0.209,0.156,0.278,0.356,0.116,0.093,0.428,0.363,1811,999,10708,7004,13039,22889,0.027,0.041,0.065,0.566,,0.738253
1999,1,,,183,0.226,0.159,0.282,0.333,0.119,0.107,0.433,0.341,2079,1182,11366,7516,13954,24768,0.027,0.043,0.07,0.558,44,0.753413
2000,1,,,192,0.243,0.156,0.275,0.326,0.129,0.115,0.419,0.338,2302,1265,12011,7808,14956,26379,0.028,0.045,0.066,0.563,44,0.77168
2001,1,,,198,0.259,0.154,0.275,0.312,0.135,0.124,0.407,0.334,2554,1438,12891,8241,15337,28306,0.027,0.041,0.061,0.562,44,0.779909
2002,1,,,208,0.264,0.147,0.274,0.315,0.136,0.128,0.42,0.316,2766,1698,13297,8526,16012,29556,0.022,0.036,0.058,0.516,45,0.796383
2003,1,,,227,0.265,0.155,0.27,0.309,0.15,0.116,0.428,0.306,3149,1965,13895,8466,16201,30899,0.026,0.047,0.073,0.484,45,0.811654
2004,1,,,267,0.266,0.161,0.27,0.303,0.153,0.112,0.434,0.301,3983,2583,14931,8700,17426,33746,0.026,0.043,0.073,0.44,45,0.834702
2005,1,,,299,0.256,0.165,0.281,0.298,0.153,0.104,0.443,0.301,5011,3468,16738,10584,20369,36911,0.028,0.047,0.073,0.449,45,0.858669
2006,1,,,319,0.233,0.17,0.29,0.307,0.14,0.093,0.455,0.312,5971,4178,18730,11929,23379,42110,0.031,0.049,0.076,0.433,45,0.876992
2007,1,,,310,0.226,0.175,0.287,0.312,0.134,0.092,0.471,0.303,6542,4659,21139,13117,26061,48281,0.037,0.059,0.091,0.403,44,0.906824
2008,1,,,304,0.231,0.168,0.29,0.311,0.131,0.101,0.468,0.3,6846,4911,22495,13591,27378,52206,0.038,0.071,0.114,0.388,43,0.910217
2009,1,,,292,0.242,0.158,0.292,0.308,0.132,0.111,0.451,0.307,6648,4824,22734,13114,27959,53375,0.05,0.073,0.107,0.359,44,0.929017
2010,1,,,353,0.243,0.168,0.282,0.308,0.13,0.113,0.446,0.311,7712,0,21878,12680,26442,50200,0.052,0.082,,,43,0.941916
2011,1,,,406,0.267,0.174,0.287,0.272,0.144,0.123,0.444,0.289,8529,0,21001,11797,25008,49274,0.059,0.089,,,42,0.965479
2012,1,,,412,0.215,0.186,0.319,0.28,0.114,0.101,0.483,0.303,10628,0,25817,15400,32046,60281,0.029,,,,43,0.980216
2013,1,,,316,0.165,0.167,0.33,0.337,0.089,0.076,0.518,0.317,10930,0,34561,20382,44423,83140,,,,,43,0.992323
2014,1,,,364,0.158,0.168,0.339,0.335,0.078,0.08,0.505,0.337,14143,0,38812,22720,50716,93722,,,,,41,1
1983,,1,,3,,,,,,,,,7,3,2246,2550,2615,2677,0.025,0.041,0.057,0.623,,0.491878
1984,,1,,7,,,,,,,,,16,7,2387,2561,2624,2660,0.03,0.038,0.045,0.548,,0.509814
1985,,1,,9,,,,,,,,,22,10,2479,2571,2632,2686,0.031,0.058,0.097,0.562,,0.528431
1986,,1,,14,,,,,,,,,35,15,2556,2569,2637,3366,0.051,0.079,0.105,0.585,,0.536539
1987,,1,,20,,,,,,,,,56,27,2816,2595,3468,3532,0.067,0.094,0.137,0.548,,0.556903
1988,,1,,32,,,,,,,,,92,45,2888,3070,3474,3546,0.071,0.115,0.171,0.544,,0.580705
1989,,1,,42,,,,,,,,,127,63,2991,3115,3483,4427,0.112,0.174,0.243,0.527,,0.60299
1990,,1,,41,,,,,,,,,132,72,3237,3337,3496,5999,0.126,0.173,0.259,0.498,,0.631967
1991,,1,,41,,,,,,,,,140,73,3427,3346,3512,6499,0.116,0.176,0.243,0.517,,0.648323
1992,,1,,40,,,,,,,,,143,72,3592,3356,3531,6649,0.109,0.16,0.236,0.538,,0.665147
1993,,1,,37,,,,,,,,,165,85,4488,3852,5699,7575,0.102,0.153,0.21,0.527,,0.679709
1994,,1,,25,,,,,,,,,129,59,5148,4447,6806,9070,0.063,0.099,0.123,0.599,,0.694281
1995,,1,,30,,,,,,,,,168,79,5547,4633,7157,9954,0.073,0.103,0.125,0.598,,0.707602
1996,,1,,32,,,,,,,,,199,91,6169,5142,8124,11014,0.075,0.098,0.114,0.612,,0.724261
1997,,1,,33,,,,,,,,,214,96,6477,4990,8401,12113,0.047,0.06,0.084,0.619,,0.732323
1998,,1,,35,,,,,,,,,244,135,6909,5429,8801,13020,0.049,0.073,0.105,0.573,,0.738253
1999,,1,,41,,,,,,,,,312,161,7555,5767,9744,14576,0.049,0.078,0.11,0.581,43,0.753413
2000,,1,,47,,,,,,,,,392,198,8418,6416,10604,16475,0.042,0.065,0.087,0.586,44,0.77168
2001,,1,,51,,,,,,,,,464,247,9032,6892,11732,17097,0.048,0.067,0.099,0.575,43,0.779909
2002,,1,,55,,,,,,,,,526,305,9574,7441,12542,18603,0.033,0.061,0.092,0.517,45,0.796383
2003,,1,,60,,,,,,,,,620,373,10315,7332,13091,20713,0.043,0.074,0.109,0.49,45,0.811654
2004,,1,,71,,,,,,,,,787,518,11109,7443,13638,23143,0.046,0.07,0.112,0.436,44,0.834702
2005,,1,,77,,,,,,,,,976,672,12726,9360,16500,26526,0.05,0.085,0.13,0.436,45,0.858669
2006,,1,,74,,,,,,,,,1067,754,14373,10044,18381,30883,0.057,0.092,0.135,0.411,45,0.876992
2007,,1,,70,,,,,,,,,1114,840,15945,10857,19822,33881,0.062,0.097,0.145,0.364,43,0.906824
2008,,1,,70,,,,,,,,,1061,835,15055,9956,18577,32501,0.072,0.131,0.198,0.34,42,0.910217
2009,,1,,71,,,,,,,,,1084,872,15308,9258,18764,33425,0.093,0.137,0.188,0.303,45,0.929017
2010,,1,,86,,,,,,,,,1217,0,14231,8686,17476,31608,0.11,0.168,,,44,0.941916
2011,,1,,108,,,,,,,,,1522,0,14042,8180,16516,31821,0.134,0.192,,,43,0.965479
2012,,1,,88,,,,,,,,,1578,0,17861,10503,20803,40191,0.072,,,,44,0.980216
2013,,1,,52,,,,,,,,,1189,0,22751,12276,26599,54362,,,,,45,0.992323
2014,,1,,58,,,,,,,,,1390,0,24127,13686,27785,59283,,,,,44,1
1983,,3,,4,,,,,,,,,9,4,2504,2548,2647,4288,0,0.007,0.014,0.514,,0.491878
1984,,3,,5,,,,,,,,,14,6,2735,2533,2643,4919,0.024,0.038,0.042,0.555,,0.509814
1985,,3,,6,,,,,,,,,17,7,2779,2550,2649,5116,0.024,0.028,0.045,0.595,,0.528431
1986,,3,,7,,,,,,,,,22,9,3134,2533,2810,5170,0.022,0.032,0.051,0.597,,0.536539
1987,,3,,8,,,,,,,,,24,10,3088,2568,3514,5129,0.03,0.033,0.066,0.602,,0.556903
