fy,full_sample,typen,n_borrowers,tot_bal,r_typen1,r_typen2,r_typen4,r_typen6,mn_tot_bal,md_tot_bal,alt_cdr2,alt_cdr3,alt_cdr5,replicate_cdr3,fract_repaid,f5_tot_bal,mn_f5_tot_bal,md_f5_tot_bal,agg_fract_repaid,cpi_adj
1999,1,,406,2870,.071,.081,.453,.394,7063,5863,.013,.023,.04,.02,.506,1560,3839,2545,.456,.753413
2000,1,,422,3120,.078,.088,.45,.383,7396,6063,.014,.024,.037,.02,.496,1786,4233,2658,.428,.77168
2001,1,,436,3394,.079,.097,.447,.377,7782,6446,.013,.022,.035,.019,.46,2108,4833,2976,.379,.779909
2002,1,,468,3765,.083,.096,.453,.369,8042,6596,.011,.019,.033,.016,.389,2494,5326,3440,.338,.796383
2003,1,,520,4317,.087,.09,.467,.356,8308,6348,.013,.025,.041,.02,.321,2961,5698,3718,.314,.811654
2004,1,,608,5346,.089,.085,.471,.355,8789,6427,.013,.023,.041,.019,.261,3782,6218,4042,.293,.834702
2005,1,,654,6351,.09,.079,.483,.347,9709,7845,.015,.027,.044,.022,.289,5140,7859,5105,.191,.858669
2006,1,,672,6452,.082,.07,.493,.354,9604,7699,.017,.029,.05,.025,.352,4612,6865,4472,.285,.876992
2007,1,,653,6863,.08,.071,.503,.346,10517,8571,.02,.034,.06,.029,.357,4849,7430,4823,.293,.906824
2008,1,,627,7176,.08,.079,.5,.34,11437,9573,.02,.04,.071,.033,.356,5097,8124,5201,.29,.910217
2009,1,,630,7361,.078,.089,.492,.341,11689,9667,.028,.042,.066,.036,.296,5654,8978,5725,.232,.929017
2010,1,,732,8822,.078,.093,.494,.335,12059,9814,.029,.047,,.037,,,,,,.941916
2011,1,,852,10633,.084,.097,.484,.335,12477,10133,.03,.047,,.039,,,,,,.965479
2012,1,,825,11310,.068,.078,.507,.348,13707,11463,.015,,,.026,,,,,,.980216
2013,1,,681,10205,.051,.06,.525,.364,14994,12756,,,,,,,,,,.992323
2014,1,,653,9907,.048,.055,.532,.365,15179,12977,,,,,,,,,,1
1999,,1,29,164,,,,,5677,4783,.034,.063,.092,.051,.584,73,2530,1850,.555,.753413
2000,,1,33,198,,,,,6012,5000,.04,.066,.086,.055,.613,89,2701,1572,.551,.77168
2001,,1,35,212,,,,,6108,5116,.047,.072,.104,.062,.592,103,2965,1586,.514,.779909
2002,,1,39,264,,,,,6811,5715,.038,.067,.101,.052,.52,139,3600,2367,.473,.796383
2003,,1,45,311,,,,,6884,5470,.043,.078,.107,.06,.497,167,3701,2436,.463,.811654
2004,,1,54,422,,,,,7762,5815,.035,.057,.096,.048,.447,226,4167,2770,.464,.834702
2005,,1,59,492,,,,,8320,6682,.037,.069,.113,.053,.436,329,5558,3522,.331,.858669
2006,,1,55,482,,,,,8726,7058,.055,.088,.127,.077,.422,318,5760,3808,.34,.876992
2007,,1,52,514,,,,,9856,7864,.056,.093,.147,.077,.372,364,6974,4446,.292,.906824
2008,,1,50,448,,,,,8903,7398,.066,.11,.175,.097,.36,317,6304,4249,.292,.910217
2009,,1,49,420,,,,,8587,6809,.087,.135,.188,.112,.321,314,6414,4214,.252,.929017
2010,,1,57,471,,,,,8247,6442,.114,.176,,.138,,,,,,.941916
2011,,1,71,575,,,,,8045,6164,.124,.184,,.154,,,,,,.965479
2012,,1,56,479,,,,,8576,6710,.067,,,.108,,,,,,.980216
2013,,1,35,323,,,,,9343,7630,,,,,,,,,,.992323
2014,,1,31,319,,,,,10166,7809,,,,,,,,,,1
1999,,2,33,208,,,,,6276,5478,.033,.052,.077,.049,.544,105,3187,2271,.495,.753413
2000,,2,37,268,,,,,7190,6071,.023,.038,.054,.032,.532,140,3764,2427,.478,.77168
2001,,2,42,332,,,,,7856,6654,.024,.035,.054,.031,.486,196,4637,2966,.41,.779909
2002,,2,45,363,,,,,8078,6818,.014,.027,.047,.018,.444,224,4984,2978,.383,.796383
2003,,2,47,419,,,,,8927,6994,.019,.036,.061,.029,.341,287,6124,3809,.315,.811654
2004,,2,52,503,,,,,9720,7113,.031,.05,.08,.04,.261,353,6821,4397,.298,.834702
2005,,2,52,595,,,,,11458,9499,.037,.066,.098,.051,.271,499,9601,6548,.161,.858669
2006,,2,47,555,,,,,11729,9209,.034,.059,.099,.051,.325,428,9050,5639,.229,.876992
2007,,2,46,568,,,,,12293,9728,.038,.065,.105,.051,.27,466,10079,6371,.18,.906824
2008,,2,50,628,,,,,12615,10109,.041,.092,.15,.07,.247,535,10760,6660,.148,.910217
2009,,2,56,727,,,,,12921,10350,.057,.083,.125,.069,.182,666,11829,7574,.084,.929017
2010,,2,68,890,,,,,13093,10008,.063,.103,,.084,,,,,,.941916
2011,,2,83,1085,,,,,13078,9481,.08,.116,,.097,,,,,,.965479
2012,,2,64,905,,,,,14108,10710,.043,,,.072,,,,,,.980216
2013,,2,41,638,,,,,15573,12380,,,,,,,,,,.992323
2014,,2,36,524,,,,,14561,11338,,,,,,,,,,1
1999,,4,184,1126,,,,,6112,5302,.009,.016,.03,.013,.521,602,3268,2238,.465,.753413
2000,,4,190,1206,,,,,6354,5622,.01,.016,.028,.014,.504,678,3570,2416,.438,.77168
2001,,4,195,1294,,,,,6640,5875,.008,.015,.025,.011,.472,780,4001,2696,.397,.779909
2002,,4,212,1493,,,,,7041,5856,.008,.013,.024,.011,.404,960,4528,3132,.357,.796383
2003,,4,242,1757,,,,,7248,5767,.01,.019,.031,.016,.34,1135,4681,3364,.354,.811654
2004,,4,287,2227,,,,,7772,5746,.009,.017,.03,.014,.28,1503,5246,3647,.325,.834702
2005,,4,316,2591,,,,,8198,6938,.01,.018,.031,.016,.306,2019,6389,4421,.221,.858669
2006,,4,331,2669,,,,,8056,6649,.013,.02,.038,.018,.375,1830,5526,3824,.314,.876992
2007,,4,328,2889,,,,,8801,7408,.015,.028,.049,.024,.38,1948,5936,4162,.326,.906824
2008,,4,314,3066,,,,,9764,8497,.016,.03,.055,.025,.375,2114,6734,4639,.311,.910217
2009,,4,310,3087,,,,,9968,8612,.021,.03,.052,.027,.306,2319,7487,5174,.249,.929017
